scientific_name,city,long,lat,count
Liquidambar styraciflua,Buffalo,-79.0,43.0,214
Liquidambar styraciflua,Columbus,-83.0,40.0,1679
Liquidambar styraciflua,Denver,-105.0,40.0,84
Liquidambar styraciflua,Detroit,-83.0,42.0,180
Liquidambar styraciflua,Durham,-79.0,36.0,163
Liquidambar styraciflua,Garden Grove,-118.0,34.0,365
Liquidambar styraciflua,Houston,-92.0,32.0,1352
Liquidambar styraciflua,Huntington Beach,-118.0,34.0,170
Liquidambar styraciflua,Knoxville,-84.0,36.0,96
Liquidambar styraciflua,Los Angeles,-118.0,34.0,24928
Liquidambar styraciflua,Louisville,-86.0,38.0,834
Liquidambar styraciflua,Nashville,-87.0,36.0,131
Liquidambar styraciflua,New York,-74.0,40.0,10657
Liquidambar styraciflua,Oakland,-102.0,38.0,3312
Liquidambar styraciflua,Oklahoma City,-98.0,36.0,55
Liquidambar styraciflua,Ontario,-116.0,36.0,4392
Liquidambar styraciflua,Overland Park,-95.0,39.0,1983
Liquidambar styraciflua,Pittsburgh,-80.0,40.0,892
Liquidambar styraciflua,Providence,-71.0,42.0,265
Liquidambar styraciflua,Rancho Cucamonga,-118.0,34.0,3727
Liquidambar styraciflua,Rochester,-76.0,42.0,786
Liquidambar styraciflua,Sacramento,-122.0,38.0,1933
Liquidambar styraciflua,San Diego,-117.0,33.0,10323
Liquidambar styraciflua,San Francisco,-122.0,38.0,1561
Liquidambar styraciflua,San Jose,-122.0,37.0,14644
Liquidambar styraciflua,Seattle,-122.0,48.0,3377
Liquidambar styraciflua,St. Louis,-90.0,39.0,2140
Liquidambar styraciflua,Stockton,-115.0,37.0,4110
Liquidambar styraciflua,Washington DC,-77.0,39.0,2839
Others,Adair,-95.0,42.0,231
Others,Adel,-94.0,42.0,377
Others,Albuquerque,-107.0,35.0,2067
Others,Anaheim,-118.0,34.0,43501
Others,Arlington,-97.0,33.0,11865
Others,Atlanta,-84.0,34.0,32540
Others,Aurora,-105.0,40.0,33069
Others,Austin,-98.0,30.0,4507
Others,AvondaleEstates,-84.0,34.0,282
Others,Baltimore,-77.0,39.0,78761
Others,Baxter,-93.0,42.0,249
Others,Bondurant,-93.0,42.0,424
Others,Bouton,-94.0,42.0,98
Others,Brookhaven,-84.0,34.0,101
Others,Brown Deer,-88.0,43.0,404
Others,Buffalo,-79.0,43.0,42748
Others,Cape Coral,-82.0,27.0,23497
Others,Carlisle,-93.0,42.0,481
Others,Chamblee,-84.0,34.0,104
Others,Clarkston,-84.0,34.0,216
Others,Colfax,-93.0,42.0,250
Others,CollegePark,-84.0,34.0,92
Others,Colorado Springs,-105.0,39.0,11747
Others,Columbus,-83.0,40.0,86771
Others,Coon Rapids,-95.0,42.0,361
Others,Cudahy,-88.0,43.0,304
Others,Dallas Center,-94.0,42.0,529
Others,De Soto,-94.0,42.0,146
Others,Decatur,-84.0,34.0,1786
Others,Denver,-105.0,40.0,201416
Others,Detroit,-83.0,42.0,17245
Others,Dexter,-94.0,42.0,151
Others,Doraville,-84.0,34.0,121
Others,Dunwoody,-84.0,34.0,894
Others,Durham,-79.0,36.0,14630
Others,Earlham,-94.0,41.0,433
Others,EastPoint,-84.0,34.0,521
Others,Elkhart,-94.0,42.0,94
Others,Fox Point,-88.0,43.0,138
Others,Franklin,-88.0,43.0,273
Others,Garden Grove,-118.0,34.0,13593
Others,Glendale,-88.0,43.0,1023
Others,Granger,-94.0,42.0,151
Others,Greendale,-88.0,43.0,217
Others,Greenfield,-88.0,43.0,290
Others,Guthrie Center,-94.0,42.0,158
Others,Hales Corners,-88.0,43.0,320
Others,Hapeville,-84.0,34.0,212
