state_code,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arizona,1943,-1.06,0.78,3.39,6.78,10.28,14.06,18.56,18.5,14.67,8.06,0.89,-0.5
Arizona,1944,-3.17,-0.89,0.56,3.89,9.22,12.0,17.06,17.67,14.22,9.11,1.83,-1.5
Arizona,1945,-2.0,0.33,0.61,3.72,9.22,11.83,18.78,18.72,14.11,9.33,-0.06,-3.78
Arizona,1946,-2.94,-2.89,1.72,7.72,9.28,14.72,18.72,18.5,15.0,5.94,0.44,-0.33
Arizona,1947,-4.0,0.39,2.17,5.06,11.44,13.72,18.39,17.56,15.39,8.06,-0.17,-3.11
Arizona,1948,-3.39,-1.67,-0.67,5.56,9.06,13.67,17.83,17.78,14.33,8.78,-1.28,-1.67
Arizona,1949,-5.0,-3.5,1.11,6.33,9.0,14.61,18.61,16.06,15.67,6.56,3.0,-3.0
Arizona,1950,-3.17,0.67,2.0,6.44,8.11,13.11,18.33,16.11,12.22,9.72,2.56,-0.44
Arizona,1951,-2.78,-0.61,1.11,5.72,9.67,12.39,19.17,17.44,13.5,7.94,1.72,-1.78
Arizona,1952,-1.56,-1.56,-0.22,6.0,10.67,13.78,17.61,18.5,14.61,8.67,0.17,-2.06
Arizona,1953,-0.56,-2.11,2.11,4.94,6.94,13.89,19.61,17.11,13.11,7.17,2.44,-3.94
Arizona,1954,-1.67,1.11,1.44,7.11,10.78,13.89,19.33,16.94,14.78,8.67,2.67,-2.06
Arizona,1955,-3.33,-3.83,1.0,3.39,8.89,13.39,17.0,18.22,13.33,9.0,1.72,0.0
Arizona,1956,0.39,-3.28,0.83,4.94,10.22,15.94,17.89,16.11,14.78,7.28,-1.06,-3.0
Arizona,1957,0.67,3.67,3.33,5.11,8.39,15.61,19.0,18.0,13.11,8.67,0.67,-0.67
Arizona,1958,-2.33,1.61,1.28,4.83,11.83,15.78,18.22,18.94,15.0,9.61,1.67,-1.22
Arizona,1959,-1.94,-1.22,1.33,7.22,9.28,16.56,19.83,18.0,13.44,7.89,2.11,-0.17
Arizona,1960,-4.06,-2.17,3.28,5.67,9.33,16.11,18.78,18.22,15.06,7.94,2.28,-2.83
Arizona,1961,-1.83,0.0,1.94,5.61,9.22,16.22,19.11,18.06,12.78,6.78,1.39,-2.44
Arizona,1962,-2.89,0.78,-0.33,7.33,8.44,13.44,18.0,18.0,15.39,8.5,3.83,-0.39
Arizona,1963,-4.22,1.72,1.22,4.17,10.89,12.78,19.28,18.17,15.44,10.06,3.17,-3.17
Arizona,1964,-5.06,-4.5,-0.44,4.33,8.94,13.56,19.39,17.67,13.72,9.39,0.33,-1.22
Arizona,1965,-0.39,-1.39,0.78,5.06,8.0,11.67,18.28,17.39,12.39,8.0,4.44,-0.11
