state_code,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Kentucky,2018,4.5,12.5,12.11,17.11,28.44,30.06,30.67,29.67,27.94,20.94,10.56,9.28
Kentucky,2023,10.78,13.67,14.83,21.11,24.17,27.72,30.33,29.17,27.44,21.5,,
Louisiana,1978,8.72,11.28,19.44,26.06,29.56,32.56,34.33,33.67,30.78,27.0,22.89,16.89
Louisiana,1983,13.61,15.56,19.78,22.22,27.78,30.22,33.56,33.56,30.11,26.56,20.67,11.89
Louisiana,1988,12.56,16.06,20.78,25.78,29.44,32.33,32.67,32.89,30.67,24.67,22.44,17.22
Louisiana,1993,15.22,17.11,19.39,22.5,27.39,31.56,33.5,34.5,31.89,25.33,18.56,16.11
Louisiana,1998,17.0,17.5,20.28,24.33,30.89,34.0,35.44,34.61,31.89,27.28,21.44,17.0
Louisiana,2003,13.5,15.5,20.56,25.67,30.0,31.44,32.44,33.39,30.11,26.5,23.11,16.39
Louisiana,2008,14.61,19.61,22.17,25.39,28.83,32.78,34.22,32.28,29.22,25.67,20.61,17.39
Louisiana,2013,16.33,17.94,19.78,24.11,27.56,32.33,32.44,33.33,32.72,26.06,18.56,15.17
Louisiana,2018,12.78,20.78,22.89,23.67,31.61,33.0,34.0,33.28,31.22,26.83,18.0,16.39
Louisiana,2023,18.78,20.11,23.56,24.44,29.5,33.5,35.06,37.67,33.44,27.44,,
Maine,1978,-5.56,-4.22,0.83,7.44,18.83,21.56,25.17,24.83,17.67,11.17,4.78,-2.0
Maine,1983,-2.78,-1.17,3.39,9.5,14.44,23.78,25.39,24.5,21.56,12.56,5.0,-2.61
Maine,1988,-3.78,-1.67,2.89,9.17,18.44,22.33,25.61,24.22,18.17,9.78,6.06,-2.72
Maine,1993,-3.89,-7.06,2.89,10.11,17.67,22.17,24.72,25.33,18.83,9.94,5.28,-1.11
Maine,1998,-3.33,1.28,4.11,11.22,20.5,20.61,25.17,25.06,19.44,11.83,4.39,1.89
Maine,2003,-7.5,-5.17,2.06,8.22,15.89,22.89,24.56,24.28,20.94,12.11,6.44,-0.06
Maine,2008,-2.06,-1.94,1.11,11.72,16.78,21.56,25.72,22.61,19.39,12.06,5.61,-1.0
Maine,2013,-3.33,-1.78,3.44,10.0,18.0,21.83,26.0,23.72,19.39,14.22,4.78,-4.11
Maine,2018,-4.39,0.72,2.83,8.0,19.83,21.78,26.83,25.89,20.72,9.67,1.67,-1.39
Maine,2023,-0.28,-1.67,3.89,11.22,18.06,20.61,26.39,22.67,21.78,15.56,,
Maryland,1978,1.78,0.67,9.11,17.44,21.39,27.61,28.39,29.61,25.89,19.17,13.56,9.06
Maryland,1983,5.0,6.44,11.94,15.44,22.11,27.72,31.39,30.78,26.67,19.11,13.61,4.83
Maryland,1988,2.83,6.78,12.89,16.44,23.0,28.72,31.89,30.78,24.44,16.56,13.67,7.39
Maryland,1993,7.0,4.83,8.83,17.22,24.0,28.0,31.72,30.11,25.28,18.61,13.33,5.89
Maryland,1998,9.11,9.22,12.39,19.28,24.17,26.83,30.11,30.06,28.39,19.83,14.5,10.72
Maryland,2003,2.33,3.78,13.06,17.56,20.22,26.0,29.33,29.5,24.78,18.67,16.06,7.22
